tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt1326691,tvEpisode,Hanabi,Hanabi,0,2008,\N,30,Animation
tt1326691,tvEpisode,Hanabi,Hanabi,0,2008,\N,30,Comedy
tt1326691,tvEpisode,Hanabi,Hanabi,0,2008,\N,30,Drama
tt1326692,tvEpisode,Ôhashi kôkô bunkasai Chûhen,Ôhashi kôkô bunkasai Chûhen,0,2008,\N,30,Animation
tt1326692,tvEpisode,Ôhashi kôkô bunkasai Chûhen,Ôhashi kôkô bunkasai Chûhen,0,2008,\N,30,Comedy
tt1326692,tvEpisode,Ôhashi kôkô bunkasai Chûhen,Ôhashi kôkô bunkasai Chûhen,0,2008,\N,30,Drama
tt1326693,tvEpisode,Ôhashi kôkô bunkasai Zenpen,Ôhashi kôkô bunkasai Zenpen,0,2008,\N,30,Animation
tt1326693,tvEpisode,Ôhashi kôkô bunkasai Zenpen,Ôhashi kôkô bunkasai Zenpen,0,2008,\N,30,Comedy
tt1326693,tvEpisode,Ôhashi kôkô bunkasai Zenpen,Ôhashi kôkô bunkasai Zenpen,0,2008,\N,30,Drama
tt1336562,tvEpisode,Shiawase no tenori taigâ,Shiawase no tenori taigâ,0,2009,\N,30,Animation
tt1336562,tvEpisode,Shiawase no tenori taigâ,Shiawase no tenori taigâ,0,2009,\N,30,Comedy
tt1336562,tvEpisode,Shiawase no tenori taigâ,Shiawase no tenori taigâ,0,2009,\N,30,Drama
tt1336929,tvEpisode,Ôhashi kôkô bunkasai Kô'hen,Ôhashi kôkô bunkasai Kô'hen,0,2008,\N,30,Animation
tt1336929,tvEpisode,Ôhashi kôkô bunkasai Kô'hen,Ôhashi kôkô bunkasai Kô'hen,0,2008,\N,30,Comedy
tt1336929,tvEpisode,Ôhashi kôkô bunkasai Kô'hen,Ôhashi kôkô bunkasai Kô'hen,0,2008,\N,30,Drama
tt1356237,tvEpisode,Fumi dasu ippo,Fumi dasu ippo,0,2009,\N,30,Animation
tt1356237,tvEpisode,Fumi dasu ippo,Fumi dasu ippo,0,2009,\N,30,Comedy
tt1356237,tvEpisode,Fumi dasu ippo,Fumi dasu ippo,0,2009,\N,30,Drama
tt1356238,tvEpisode,Hoshi wa tôku,Hoshi wa tôku,0,2009,\N,30,Animation
tt1356238,tvEpisode,Hoshi wa tôku,Hoshi wa tôku,0,2009,\N,30,Comedy
tt1356238,tvEpisode,Hoshi wa tôku,Hoshi wa tôku,0,2009,\N,30,Drama
tt1361263,tvEpisode,Kurisumasu ni suisei wa gyakkô suru,Kurisumasu ni suisei wa gyakkô suru,0,2009,\N,30,Animation
tt1361263,tvEpisode,Kurisumasu ni suisei wa gyakkô suru,Kurisumasu ni suisei wa gyakkô suru,0,2009,\N,30,Comedy
tt1361263,tvEpisode,Kurisumasu ni suisei wa gyakkô suru,Kurisumasu ni suisei wa gyakkô suru,0,2009,\N,30,Drama
